state,county,lat,lon,year,category
Florida,Pinellas,27.7713247,-82.6477614,2014,cafe
California,San Francisco,37.7895241,-122.4077704,2013,default
California,Los Angeles,34.0685731,-118.4054183,2013,default
Louisiana,St. Charles,29.9010124,-90.3866885,2013,default
Florida,Palm Beach,26.803033,-80.076921,2013,default
New York,New York,40.7485331,-73.9922549,2013,default
Florida,Pasco,28.3318001,-82.6852635,2013,shopping
Texas,Travis,30.3546209,-97.7563751,2014,food
Utah,Salt Lake,40.7255191,-111.8746513,2013,food
California,Orange,33.7202935,-117.7854931,2013,default
Louisiana,Orleans,29.9552478,-90.0671103,2013,shopping
Oklahoma,Cleveland,35.1945200405997,-97.4449646472931,2020,default
Washington,King,47.6097909,-122.3366622,2013,shopping
Ohio,Cuyahoga,41.5070127,-81.6910207,2013,nightlife
New Jersey,Camden,39.8297606,-74.9784601,2013,default
California,Los Angeles,34.1680312,-118.5993594,2013,shopping
Illinois,Cook,41.8535316,-87.6467139,2013,default
Utah,Utah,40.2999382,-111.6469702,2013,default
Idaho,Teton,43.6633694,-111.3075235,2013,default
Washington,Columbia,46.3206726,-117.9788371,2013,food
Utah,Salt Lake,40.4982963,-111.8846222,2013,shopping
California,San Francisco,37.7587119,-122.4178384,2013,default
California,Santa Cruz,36.9824413,-122.0385092,2013,default
Nevada,Clark,36.0720711,-115.2072063,2013,cafe
California,Los Angeles,34.1221138,-118.2969126,2013,default
California,Los Angeles,34.0932873,-118.3780461,2013,default
California,Los Angeles,34.1217773,-118.2067935,2013,default
California,San Diego,32.7141993,-117.1599549,2013,default
Kansas,Montgomery,37.0753235,-95.7105846,2013,default
Oklahoma,Muskogee,35.7556774,-95.4029606,2013,grocery
Louisiana,Pointe Coupee,30.6955212,-91.4433462,2013,default
Ohio,Hamilton,39.165605,-84.5411898,2013,default
Florida,Orange,28.5241431,-81.3147606,2013,default
South Carolina,Georgetown,33.370125,-79.152546,2013,default
Washington,Snohomish,47.8084569,-122.2935987,2013,default
Washington,King,47.6069606,-122.3332006,2013,default
Oregon,Multnomah,45.5412826,-122.6265672,2013,default
California,San Francisco,37.79696,-122.4021345,2013,default
California,Santa Clara,37.3806428,-121.9835014,2013,default
Nevada,Clark,35.9992281,-115.1040079,2013,food
West Virginia,Lewis,39.0379364,-80.4592545,2013,shopping
North Dakota,Cass,46.8707071,-96.7938544,2013,default
New Mexico,Bernalillo,35.1907704,-106.5321456,2013,default
California,Los Angeles,33.8601141,-118.2892305,2013,default
California,Orange,33.6981497,-117.8653959,2013,default
California,San Mateo,37.564246,-122.3239197,2015,shopping
California,Los Angeles,34.1388967,-118.7387041,2013,default
Utah,Cache,41.7693989,-111.8040248,2013,default
Utah,Utah,40.2507868,-111.6583936,2013,default
Utah,Utah,40.2339429,-111.6589718,2013,default
California,San Diego,33.0618314,-117.3015836,2013,default
Wyoming,Laramie,41.1337479,-104.8141159,2013,default
Pennsylvania,Philadelphia,39.9074938,-75.2231885,2013,default
Michigan,Kent,42.9123948,-85.7563234,2013,default
Tennessee,Tipton,35.4487922,-89.8143662,2013,default
Texas,Denton,32.9991522,-96.9629146,2013,default
Massachusetts,Hampshire,42.399978,-72.684656,2013,default
New York,Bronx,40.9082058,-73.9022156,2013,default
New York,Bronx,40.8801074,-73.8719703,2013,default
New York,New York,40.7154852,-73.9899564,2013,default
New York,New York,40.7144038,-74.005943,2013,default
Pennsylvania,Philadelphia,39.9903571,-75.1651416,2013,default
Pennsylvania,Philadelphia,39.9893136,-75.0969678,2013,default
North Carolina,Forsyth,36.1000126,-80.2440421,2013,default
Missouri,Jackson,39.1012251,-94.5787346,2013,default
New York,Queens,40.6805896,-73.8440086,2013,default
Iowa,Johnson,41.6630854,-91.5317792,2014,food
California,Los Angeles,34.105369,-118.3188971,2013,default
Massachusetts,Suffolk,42.355516,-71.0587849,2013,default
Rhode Island,Newport,41.462479,-71.3912112,2013,default
New York,Kings,40.6738326,-73.9822047,2013,food
New York,Kings,40.6781573,-73.9844338,2014,lodging
Florida,Hillsborough,27.9581894,-82.4401794,2013,default
Nevada,Clark,36.1704451,-115.141532,2013,default
Oregon,Multnomah,45.5039005,-122.6507978,2013,default
California,Los Angeles,34.1882539,-118.4489442,2013,default
Florida,Orange,28.5428705,-81.3789261,2013,default
California,Los Angeles,34.1051043,-117.8068616,2013,default
California,Alameda,37.852255,-122.2604404,2013,default
Florida,Pinellas,27.9753888,-82.7080388,2013,default
Pennsylvania,Allegheny,40.4783395,-79.9556731,2013,lodging
California,San Diego,32.7490147,-117.149549,2013,default
Wisconsin,Walworth,42.7856734,-88.4057673,2013,cafe
California,San Diego,33.1801628,-117.3250359,2013,food
Kansas,Douglas,38.9425019,-95.2532424,2014,food
New York,Nassau,40.727416,-73.444239,2013,default
Florida,Hillsborough,28.0090597,-82.1382488,2013,default
New York,Kings,40.7028886,-73.9903779,2013,default
California,Orange,33.8035646,-117.8663178,2013,shopping
California,Alameda,37.7560379,-122.2342,2013,default
California,Los Angeles,34.018135,-118.491346,2013,default
Louisiana,Orleans,29.942012,-90.1255498,2013,default
Louisiana,Orleans,29.965884235271,-90.0983190536499,2016,atm
New Jersey,Bergen,40.8201133,-73.9773778,2013,default
Nevada,Washoe,39.5218534,-119.8168832,2013,default
California,San Mateo,37.4292679,-122.4298702,2013,default
Pennsylvania,Lehigh,40.5790334,-75.5252753,2013,food
New York,Kings,40.6864593,-73.9750653,2013,default
Minnesota,Hennepin,44.9731202,-93.2737845,2013,default
Ohio,Cuyahoga,41.5079187,-81.6756764,2013,default
Ohio,Cuyahoga,41.4183069,-81.694649,2013,default
Florida,Miami-Dade,25.748638,-80.3044574,2013,default
Ohio,Cuyahoga,41.5081501,-81.6757756,2013,default
Pennsylvania,Allegheny,40.4568768,-79.9299201,2013,default
New York,New York,40.7481626,-73.9844792,2013,default
California,San Mateo,37.4502362,-122.187192,2013,default
Louisiana,Orleans,29.9217249049327,-90.1201629638672,2016,atm
Pennsylvania,Mercer,41.2130832,-80.4871092,2013,default
Indiana,Boone,39.9495602,-86.2770199,2013,default
Washington,San Juan,48.5351916,-123.0164499,2013,default
New York,Queens,40.7724202,-73.9208813,2013,default
New York,Kings,40.6803123,-73.9481101,2013,default
Florida,Collier,26.2107386,-81.799852,2013,default
California,San Diego,32.750671,-117.1426132,2013,default
Texas,Denton,33.2178,-97.1502323,2013,default
Washington,King,47.6100335,-122.3399741,2013,default
Arkansas,Pulaski,34.7518686,-92.4119233,2013,default
New Jersey,Monmouth,40.2853682,-74.293261,2013,default
Alaska,Anchorage,61.2071723,-149.7207203,2013,default
Illinois,DuPage,41.8497912,-87.9720051,2013,default
Texas,Galveston,29.5053224,-95.1029002,2013,default
Virginia,Arlington,38.8626244,-77.0864158,2013,default
Alaska,Fairbanks North Star,64.8439716,-147.8312806,2013,default
California,Santa Clara,37.3838236,-122.0126427,2013,default
California,Los Angeles,34.0517079,-118.3760041,2013,food
Pennsylvania,Philadelphia,39.9505753,-75.1745258,2013,default
Oregon,Wallowa,45.4253714,-117.278676,2013,default
Texas,Travis,30.382269,-97.6855982,2013,default
Nevada,Clark,36.1441331,-115.2638057,2013,default
Nevada,Clark,36.2026532,-115.0597195,2013,default
Nevada,Clark,36.0249922,-115.0885098,2013,default
Nevada,Clark,36.3006991,-115.3320679,2013,default
District of Columbia,District of Columbia,38.9401251,-77.0599153,2013,default
New York,Richmond,40.5914865,-74.163781,2013,default
Tennessee,Montgomery,36.5334886,-87.3436887,2013,default
Texas,Collin,33.0114679,-96.5825896,2013,default
California,Los Angeles,34.0915279,-118.3154012,2013,default
Tennessee,Shelby,35.1308686,-89.9620103,2013,default
California,Santa Clara,37.3279804,-121.9285025,2013,default
New York,New York,40.7566666,-73.9769715,2013,default
Washington,Yakima,46.595937,-120.5274718,2013,default
Washington,Skagit,48.5156636,-122.6112855,2013,default
California,San Bernardino,34.0319472,-117.6902856,2013,default
Ohio,Hancock,41.0367329,-83.6426788,2013,shopping
Arkansas,Clay,36.3829848,-90.192157,2013,default
Pennsylvania,Luzerne,40.9577916,-75.9888373,2013,default
Texas,Taylor,32.4749985,-99.712361,2013,default
Florida,Miami-Dade,25.6805206,-80.3154887,2013,default
Florida,Miami-Dade,25.5907396,-80.3639308,2013,default
Nevada,Washoe,39.5094514,-119.8362759,2013,default
Florida,Palm Beach,26.6640521,-80.2682303,2013,shopping
Oregon,Multnomah,45.4915438,-122.387379,2013,default
Ohio,Cuyahoga,41.587065,-81.5329869,2013,default
Illinois,Lake,42.2292894,-87.9727286,2013,default
California,Orange,33.5879147,-117.7212939,2013,default
District of Columbia,District of Columbia,38.9045126,-77.0369921,2013,default
Massachusetts,Middlesex,42.3962567,-71.122821,2013,default
California,Orange,33.7196669,-117.9131775,2013,default
Maryland,Baltimore,39.4288906,-76.7028193,2013,default
Oregon,Benton,44.5107461,-123.2769211,2013,default
California,San Mateo,37.5934535,-122.5041301,2013,attraction
Arizona,Maricopa,33.2382383,-111.8582604,2013,default
Minnesota,Hennepin,44.8617611,-93.3268746,2013,default
Vermont,Chittenden,44.4387444,-73.2133254,2013,default
Texas,Lubbock,33.5788572,-101.867733,2013,default
Utah,Salt Lake,40.7617721,-111.8856369,2013,default
Texas,Dallas,32.8070146,-96.8280238,2013,default
California,Orange,33.8115251,-117.9924109,2013,default
New Mexico,Sierra,33.1489213,-107.2448465,2013,default
Texas,Collin,33.0739771,-96.6698956,2013,default
Pennsylvania,Philadelphia,39.9393543,-75.1773552,2013,default
California,San Francisco,37.7947048,-122.4181336,2013,default
Kansas,Johnson,38.9986843,-94.778551,2013,nightlife
Kansas,Gove,39.117168,-100.468233,2013,default
Kansas,Johnson,39.010356,-94.8148019,2013,default
Florida,Hillsborough,28.0477042,-82.3420649,2013,default
California,San Bernardino,34.5001453,-117.1698372,2013,default
California,San Bernardino,34.5000079,-117.1698426,2013,default
Kansas,Johnson,38.9335227,-94.636311,2013,default
Oregon,Wallowa,45.4187654,-117.2713718,2013,food
Utah,Salt Lake,40.764428,-111.8742232,2013,default
Massachusetts,Norfolk,42.2896929,-71.2661007,2013,default
California,Placer,39.2396947,-120.0466423,2013,default
Illinois,Lake,42.180707,-87.9376461,2013,default
Texas,Travis,30.3825348,-97.7435454,2013,default
Oregon,Multnomah,45.5214864,-122.6808304,2013,default
West Virginia,Kanawha,38.3175807,-81.5200849,2013,food
Florida,Lee,26.3415726,-81.8089969,2013,default
Delaware,Sussex,38.4711402,-75.1129436,2013,default
Missouri,Henry/Rives,38.3661611,-93.7613705,2013,shopping
Delaware,Sussex,38.4710212,-75.1128567,2013,default
Alabama,Mobile,30.6871518,-88.0715189,2013,default
Florida,Volusia,29.2469368,-81.1059989,2013,default
Texas,Harris,29.7345029,-95.3068654,2013,default
New Mexico,Bernalillo,35.1899607,-106.5342678,2013,default
Tennessee,Shelby,35.1385589,-89.989966,2013,default
Florida,Santa Rosa,30.3800983,-86.8635037,2013,food
Florida,Santa Rosa,30.4162959,-86.8683812,2013,default
Illinois,Cook,41.8952764,-87.6491138,2013,default
Louisiana,East Baton Rouge,30.3781276,-91.1740293,2013,default
Florida,Miami-Dade,25.6488749,-80.3981071,2013,shopping
Montana,Yellowstone,45.7851733,-108.5109435,2013,shopping
Montana,Park,45.6618993,-110.5603291,2013,shopping
New York,New York,40.7055845,-74.0105097,2013,default
Arizona,Maricopa,33.4153234,-111.835604,2013,default
Washington,Lewis,46.5144355,-122.8878288,2013,default
New Mexico,Bernalillo,35.1731394,-106.7155131,2013,default
Florida,Hernando,28.5700456,-82.3787227,2013,default
New Jersey,Union,40.667769,-74.2163567,2013,food
Minnesota,Crow Wing,46.5292755,-94.3204872,2013,default
Arizona,Maricopa,33.4259748,-111.9401666,2013,shopping
California,Los Angeles,34.0474283,-118.2564091,2013,default
California,Santa Clara,37.4507752,-122.1564643,2013,default
Florida,Alachua,29.6784124,-82.3384118,2013,default
Massachusetts,Norfolk,42.2698948,-71.0675595,2013,default
New Jersey,Monmouth,40.3998465,-74.2290962,2013,default
New York,New York,40.7447614,-73.984989,2013,default
Kansas,Johnson,38.9805498,-94.8478408,2013,default
California,Ventura,34.2772548,-119.2850983,2013,shopping
Florida,Sarasota,27.3387011,-82.536772,2013,default
Florida,Miami-Dade,25.866601,-80.3171312,2013,default
Florida,Broward,26.1479168,-80.2574741,2013,default
California,Sacramento,38.5340925,-121.352545,2013,default
District of Columbia,District of Columbia,38.9059129,-77.0418924,2013,default
North Dakota,Cass,46.8766832,-96.8280109,2013,default
California,San Francisco,37.7951834,-122.4235389,2013,default
California,San Luis Obispo,35.6287343,-120.6887,2013,default
Washington,Clark,45.5857375742371,-122.372975349426,2016,shopping
Oregon,Wallowa,45.4211018,-117.2777614,2013,default
Oregon,Wallowa,45.4170005,-117.271222,2013,default
California,Nevada,39.229701,-121.0576296,2013,default
New York,New York,40.7284751,-73.9848909,2013,default
New York,New York,40.7141409,-73.9801825,2013,shopping
New Jersey,Somerset,40.6219432,-74.4294411,2013,shopping
Arizona,Maricopa,33.5422659,-112.2006341,2013,default
New York,New York,40.7446507,-73.9877715,2013,default
Oregon,Wallowa,45.4253789,-117.2784266,2013,default
California,San Bernardino,34.107001,-117.5903263,2013,default
Vermont,Chittenden,44.5839895,-72.8738763,2013,default
Kentucky,Fayette,38.0622767,-84.5014611,2013,default
Kentucky,Fayette,38.0622715,-84.5015013,2013,default
Texas,Nueces,27.668656,-97.2875652,2013,default
New York,Nassau,40.5884104,-73.643181,2013,default
Texas,Travis,30.348937,-97.735742,2013,default
New Jersey,Bergen,40.9279389,-73.9992769,2013,default
Connecticut,Hartford,41.7495194,-72.5005542,2013,default
Oklahoma,Osage,36.7450227,-96.0050261,2013,default
California,Riverside,33.8332338,-116.5470962,2013,shopping
California,Riverside,33.8334033,-116.5470967,2013,shopping
Missouri,St. Louis,38.5923501,-90.3562785,2013,default
South Carolina,York,34.8696225,-81.0236573,2013,default
California,Nevada,39.2326485,-121.0445859,2013,default
Utah,Utah,40.274733,-111.723605,2013,default
Utah,Utah,40.2339367,-111.659247,2013,food
Colorado,Denver,39.7069888,-105.0248205,2013,default
Colorado,Larimer,40.549474,-105.0816485,2013,default
Texas,Tarrant,32.748511,-97.3301693,2013,default
Kansas,Pratt,37.6427219,-98.7357371,2013,default
West Virginia,Marion,39.422185,-80.1953699,2013,default
Oregon,Lane,44.2224617,-123.2214465,2013,default
Florida,Pinellas,27.770863,-82.653933,2014,food
Illinois,Cook,41.8819299,-87.6247089,2013,default
Oregon,Jackson,42.2005307,-122.7052138,2013,shopping
Tennessee,Giles,35.2020289,-87.0601859,2013,default
Missouri,St. Charles,38.783194,-90.4847258,2013,default
Missouri,Lincoln,38.9506307,-90.9307952,2013,sports
Vermont,Chittenden,44.5027584,-73.1842994,2013,default
California,Los Angeles,34.0606566,-118.241977,2013,default
New Jersey,Hudson,40.7898938,-74.0234919,2013,default
Virginia,Virginia Beach City,36.8831821,-76.1844886,2013,default
Nevada,Clark,36.123394,-115.2169923,2013,default
Georgia,DeKalb,33.7583378,-84.3466381,2013,default
California,Los Angeles,33.7232868,-118.2833793,2013,default
New York,New York,40.7596269,-73.97758,2013,default
Texas,Harris,29.7758015,-95.779518,2013,default
Texas,Austin,29.7806769,-96.1571874,2013,default
Alabama,Mobile,30.6659672,-88.0902513,2013,default
Michigan,Washtenaw,42.2440463,-83.6127539,2013,default
Virginia,Montgomery,37.2412882,-80.4299804,2013,default
Ohio,Union,40.2366082,-83.3671331,2013,default
New Jersey,Union,40.6351427,-74.3008527,2013,default
Florida,Broward,26.1832706,-80.2876248,2013,default
Delaware,New Castle,39.4633762,-75.6716997,2013,default
Oregon,Multnomah,45.5230777,-122.6542276,2013,default
Oregon,Benton,44.5594104,-123.2643957,2013,default
California,Los Angeles,34.0638259,-118.4694164,2013,default
California,San Mateo,37.4870967,-122.4028996,2013,cafe
Texas,Travis,30.3852358,-97.7119735,2014,default
Montana,Lake,47.6943151,-114.1627982,2013,default
Texas,Bexar,29.4561384,-98.4193203,2014,default
Florida,Broward,26.0113148025525,-80.1454997062683,2016,atm
Tennessee,Shelby,35.339182,-89.8978521,2013,default
Virginia,Chesapeake City,36.7860026,-76.2404823,2013,shopping
Minnesota,Becker,46.8078387,-96.0122436,2013,default
Pennsylvania,Philadelphia,39.9816027,-75.1285025,2013,default
Pennsylvania,Delaware,39.8468758,-75.3903709,2013,default
Texas,Harris,29.7897129,-95.727464,2013,default
Pennsylvania,Philadelphia,39.9826161,-75.1266697,2013,default
Pennsylvania,Philadelphia,39.8963835,-75.1742679,2013,food
New York,New York,40.7607161,-73.9669623,2013,default
New York,New York,40.7423048,-73.9819203,2013,default
Illinois,Morgan,39.7372704,-90.2575093,2013,default
California,San Francisco,37.7956032,-122.4037065,2013,default
Wyoming,Laramie,41.1385183,-104.8060079,2013,default
Colorado,Mesa,39.0893666,-108.5463482,2013,default
Colorado,Jefferson,39.7530194,-105.2162684,2013,default
California,Los Angeles,34.0857925,-118.3544887,2013,default
Ohio,Cuyahoga,41.5011844,-81.565511,2013,default
New York,Kings,40.6942408,-73.9113657,2014,default
California,San Diego,32.8199448,-117.1776164,2013,default
New York,New York,40.7275685,-73.9886638,2013,default
Texas,Hood,32.4581734,-97.6903127,2013,default
New Mexico,Valencia,34.8066127,-106.7033227,2013,default
California,Santa Clara,37.3531075,-121.9497179,2013,default
New York,Oswego,43.2586171,-75.8964713,2013,lodging
Washington,King,47.6550623,-122.2057536,2013,default
California,Orange,33.6797269,-117.9173251,2013,shopping
California,San Diego,32.7959815,-117.252969,2013,default
New Jersey,Hudson,40.7380873,-74.0340663,2013,default
Colorado,Denver,39.6825266,-104.9877713,2013,default
California,Los Angeles,34.0445437,-118.235325,2013,default
California,Monterey,36.5783697,-121.7273232,2013,shopping
Virginia,Petersburg City,37.2298947,-77.4000223,2013,default
Arizona,Maricopa,33.53225,-111.9252278,2013,default
California,Los Angeles,34.0348061,-118.4720024,2013,default
California,Los Angeles,34.0604121,-118.3991138,2013,default
California,Los Angeles,34.0604565,-118.3991138,2013,default
New Jersey,Somerset,40.4929282,-74.6392622,2013,sports
Virginia,Richmond City,37.4733551,-77.4440465,2013,default
District of Columbia,District of Columbia,38.9036265,-77.0593135,2013,default
California,Los Angeles,34.0432155,-118.2549866,2013,attraction
New York,Kings,40.6157425,-73.9868157,2013,attraction
California,Orange,33.6214578,-117.7235191,2013,default
California,San Diego,32.8467915,-117.271605,2013,default
California,Los Angeles,34.1714803,-118.1019896,2013,default
Illinois,Cook,41.9116454,-87.6799447,2013,default
Massachusetts,Worcester,42.2064853,-71.811495,2013,default
New York,Kings,40.6342266,-73.9148297,2013,default
New York,New York,40.7520287,-73.9901051,2013,shopping
New York,New York,40.7525424,-73.981445,2013,default
New Jersey,Essex,40.7278248,-74.1556655,2013,default
Connecticut,Fairfield,41.021492,-73.5664428,2013,default
California,Los Angeles,34.0621831,-118.3509491,2013,default
California,Los Angeles,34.0985042,-118.3268528,2013,default
Massachusetts,Norfolk,42.2110091,-70.9984048,2013,default
Louisiana,East Baton Rouge,30.4599376,-91.0594591,2013,default
Arizona,Cochise,31.9229944,-109.8232348,2013,shopping
Pennsylvania,Philadelphia,39.9629768,-75.1639324,2014,food
New York,Suffolk,41.065122,-72.4263489,2013,default
New York,Nassau,40.6455838,-73.648444,2013,default
California,San Francisco,37.8065386,-122.4194931,2013,default
North Carolina,Mecklenburg,35.4765647,-80.8923301,2013,cafe
Massachusetts,Worcester,42.6354804,-71.909256,2013,default
Nevada,Clark,36.0545487,-115.1183457,2013,default
California,Los Angeles,34.0168596,-118.4476951,2013,default
Florida,Palm Beach,26.8048893,-80.0903321,2013,default
Oregon,Washington,45.5249276,-122.8901895,2013,default
Ohio,Franklin,40.0745721,-83.0720615,2013,default
Michigan,Kalamazoo,42.283113,-85.5667533,2013,sports
Arizona,Maricopa,33.5592641,-111.8830386,2013,default
Texas,Tarrant,32.881808,-97.1493851,2013,default
Minnesota,McLeod,44.925819,-94.407781,2013,default
California,Santa Barbara,34.9516797,-120.4335972,2013,shopping
California,Tulare,36.0675767,-119.0160916,2013,shopping
Pennsylvania,Washington,40.1778804,-79.8640127,2013,default
Arizona,Maricopa,33.5988473,-112.2794149,2013,default
Colorado,Boulder,39.9909735,-105.143637,2013,default
California,Placer,38.823429,-121.1941067,2013,default
Virginia,Virginia Beach City,36.6965284,-75.926122,2013,default
Pennsylvania,Philadelphia,39.9993096,-75.0987774,2013,default
Pennsylvania,Philadelphia,39.9992287,-75.0986988,2013,default
Arizona,Maricopa,33.4080815,-111.920321,2013,default
Virginia,Virginia Beach City,36.7843197,-76.0851852,2013,default
California,Santa Clara,37.3728755,-121.9893839,2013,default
Ohio,Butler,39.4249438,-84.454189,2013,default
Missouri,St. Louis,38.5605932,-90.7222924,2013,default
Texas,Dallas,32.9222634,-96.784039,2013,default
Florida,Sarasota,26.9715586,-82.3564606,2013,default
California,Los Angeles,34.0364133,-118.4432389,2013,shopping
Washington,Thurston,46.8213276,-123.0876154,2013,default
California,Orange,33.6827648,-117.8518976,2013,default
Florida,Miami-Dade,25.7741517,-80.1930339,2013,default
Michigan,Oakland,42.6278249,-83.3249224,2013,food
Maryland,Baltimore City,39.2831302,-76.5935377,2013,default
Florida,Miami-Dade,25.7290813,-80.3146398,2013,default
Texas,Denton,33.2078852,-97.1327563,2013,default
Utah,Utah,40.2338929,-111.6610053,2013,default
