id,lat,lon,category,name,created_on,geolocation_degrees,promoted,Street_Num,Street_Name,City,County,State,Country,Zip
84,40.6873932,-73.9692312,shopping,Brooklyn Flea,1429857148,"73°58'9.23""W, 40°41'14.62""N",,176,Lafayette Avenue,,Kings County,New York,United States,11238
105,49.897371,-97.2038827,lodging,Sandman Hotel & Suites Winnipeg Airport,1405578271,"97°12'13.98""W, 49°53'50.54""N",,1750,Sargent Avenue,Winnipeg,Division No. 11,Manitoba,Canada,R3H 0C7
95,32.94998,-117.227693,default,DiegoDev Group,1392330055,"117°13'39.69""W, 32°56'59.93""N",,4120,Via Candidiz,San Diego,San Diego County,California,United States,92130
96,33.1967248,-117.3788832,default,Ares Armor,1386790407,"117°22'43.98""W, 33°11'48.21""N",,206,North Freeman Street,Oceanside,San Diego County,California,United States,92054
97,33.164004,-117.348439,default,Heritage Senior Care,1388298618,"117°20'54.38""W, 33°9'50.41""N",,2755,Jefferson Street,Carlsbad,San Diego County,California,United States,92008
98,32.76434,-117.188709,default,Invincible Creative,1398989281,"117°11'19.35""W, 32°45'51.62""N",,5745,Friars Road,San Diego,San Diego County,California,United States,92110
99,32.7959837,-117.2529544,default,Villalobos SD,1386205120,"117°15'10.64""W, 32°47'45.54""N",,911,Hornblend Street,San Diego,San Diego County,California,United States,92109
101,32.799441,-117.243776,default,Computer and Ink Store,1413057081,"117°14'37.59""W, 32°47'57.99""N",,1434,Garnet Avenue,San Diego,San Diego County,California,United States,92109
102,33.1471342,-117.2003136,default,San Marcos Dental Center,1386206225,"117°12'1.13""W, 33°8'49.68""N",,162,South Rancho Santa Fe Road,San Marcos,San Diego County,California,United States,92078
124,39.1922528,-96.6091199,food,Chens Hunam Chinese Restaurant,1395401212,"96°36'32.83""W, 39°11'32.11""N",,1304,Westloop Place,Manhattan,Riley County,Kansas,United States,66503
107,49.2788858,-123.1129606,lodging,Sandman Hotel Vancouver City Centre,1405584310,"123°6'46.66""W, 49°16'43.99""N",,108,West Georgia Street,Vancouver,Metro Vancouver,British Columbia,Canada,V6B 4P4
108,49.2807244,-123.1224892,cafe,Waves Coffee House,1377270448,"123°7'20.96""W, 49°16'50.61""N",,700,Smithe Street,Vancouver,Metro Vancouver,British Columbia,Canada,V6Z 1A6
94,30.5499212,-97.8533226,food,Great Wall Express,1397418338,"97°51'11.96""W, 30°32'59.72""N",,1906,South Bagdad Road,Leander,Williamson County,Texas,United States,78641
92,51.0851087,-114.2085113,lodging,Sandman Hotel & Suites Calgary West,1405576634,"114°12'30.64""W, 51°5'6.39""N",,117,Bowridge Drive Northwest,Calgary,Division No. 6,Alberta,Canada,T3B 3P6
135,43.6931896,-79.3423214,default,Benjamin Sports Inc.,1409042966,"79°20'32.36""W, 43°41'35.48""N",,367,Donlands Avenue,Toronto,Toronto Division,Ontario,Canada,M4J 3S2
163,49.8824414,-119.440302,lodging,Sandman Hotel & Suites Kelowna,1405579918,"119°26'25.09""W, 49°52'56.79""N",,2130,Harvey Avenue,Kelowna,Central Okanagan,British Columbia,Canada,V1Y 6E8
145,27.777371,-82.631548,food,400 Beach Seafood,1418692590,"82°37'53.57""W, 27°46'38.54""N",,400,Beach Drive Northeast,St. Petersburg,Pinellas County,Florida,United States,33701
